Date,O,H,L,C,50_MA
2024-12-05 03:00:00,1.05143,1.05157,1.05091,1.05121,1.0507814
2024-12-05 04:00:00,1.05121,1.05226,1.05105,1.05197,1.0508386
2024-12-05 05:00:00,1.05198,1.05232,1.05158,1.05228,1.0509086
2024-12-05 06:00:00,1.05227,1.05254,1.05171,1.05182,1.0509662
2024-12-05 07:00:00,1.05182,1.05287,1.05172,1.05264,1.0510386
2024-12-05 08:00:00,1.05264,1.05296,1.05229,1.05256,1.0511192
2024-12-05 09:00:00,1.05253,1.05385,1.05247,1.05352,1.0512067999999999
2024-12-05 10:00:00,1.05347,1.05463,1.0529,1.05301,1.0512915999999999
2024-12-05 11:00:00,1.05302,1.05346,1.05211,1.05285,1.0513523999999999
2024-12-05 12:00:00,1.05278,1.05352,1.0525,1.0526,1.0513540000000001
2024-12-05 13:00:00,1.05256,1.05379,1.05233,1.0536,1.0513854
2024-12-05 14:00:00,1.05362,1.05385,1.05237,1.05367,1.0514298000000002
2024-12-05 15:00:00,1.05368,1.0568,1.05331,1.05669,1.0515186
2024-12-05 16:00:00,1.05668,1.05895,1.05657,1.05754,1.0516544
2024-12-05 17:00:00,1.05754,1.05797,1.05506,1.05722,1.0517512
2024-12-05 18:00:00,1.05721,1.05782,1.05647,1.05702,1.0518562
2024-12-05 19:00:00,1.0570599999999999,1.05745,1.05574,1.05675,1.0519582
2024-12-05 20:00:00,1.05674,1.05696,1.05569,1.0568,1.0520596
2024-12-05 21:00:00,1.05685,1.05885,1.05685,1.05873,1.0521772
2024-12-05 22:00:00,1.05873,1.0588,1.05809,1.05844,1.0522906
2024-12-05 23:00:00,1.05834,1.05883,1.05818,1.05824,1.052447
2024-12-06 00:00:00,1.05823,1.0588,1.05823,1.05857,1.0526010000000001
2024-12-06 01:00:00,1.05855,1.05875,1.05836,1.05863,1.0527638
2024-12-06 02:00:00,1.05863,1.05863,1.05765,1.05773,1.0529044
2024-12-06 03:00:00,1.05772,1.0578,1.05658,1.05685,1.0530218
2024-12-06 04:00:00,1.05686,1.05781,1.05682,1.05768,1.053177
2024-12-06 05:00:00,1.05768,1.05802,1.05728,1.05758,1.0533166
2024-12-06 06:00:00,1.05757,1.05769,1.05724,1.05751,1.0534664
2024-12-06 07:00:00,1.05752,1.05752,1.05687,1.05721,1.0536234
2024-12-06 08:00:00,1.05721,1.05775,1.05692,1.05743,1.0537506
2024-12-06 09:00:00,1.05747,1.05844,1.05674,1.05836,1.053888
2024-12-06 10:00:00,1.05834,1.05938,1.05765,1.05819,1.0540062000000001
2024-12-06 11:00:00,1.05818,1.05834,1.05712,1.05772,1.0541422
2024-12-06 12:00:00,1.05775,1.05847,1.05714,1.05824,1.0543246
2024-12-06 13:00:00,1.05825,1.05888,1.05766,1.05869,1.0544928
2024-12-06 14:00:00,1.05868,1.05883,1.05804,1.05812,1.0546568
2024-12-06 15:00:00,1.05814,1.06296,1.05791,1.06043,1.0548558
2024-12-06 16:00:00,1.06046,1.06069,1.05677,1.05778,1.0550292
2024-12-06 17:00:00,1.05768,1.05785,1.05442,1.05631,1.0551884
2024-12-06 18:00:00,1.05631,1.05754,1.05538,1.05623,1.0553254
2024-12-06 19:00:00,1.05618,1.05619,1.0547,1.05509,1.055369
2024-12-06 20:00:00,1.05508,1.0561,1.0546,1.05493,1.0554142
2024-12-06 21:00:00,1.05493,1.05549,1.05421,1.05542,1.0554482
2024-12-06 22:00:00,1.05549,1.05639,1.05539,1.05636,1.0555425999999999
2024-12-06 23:00:00,1.05635,1.05694,1.05614,1.05665,1.0556482
2024-12-09 00:00:00,1.05557,1.05629,1.05534,1.05626,1.0557478
2024-12-09 01:00:00,1.05614,1.05692,1.05595,1.05655,1.0558668
2024-12-09 02:00:00,1.05655,1.05657,1.05555,1.05592,1.0559648000000001
2024-12-09 03:00:00,1.05593,1.05608,1.05512,1.05518,1.0560437999999999
2024-12-09 04:00:00,1.05518,1.05561,1.05504,1.05547,1.0561250000000002
2024-12-09 05:00:00,1.05547,1.05563,1.05366,1.05372,1.0561752
2024-12-09 06:00:00,1.05373,1.05398,1.05321,1.05346,1.056205
2024-12-09 07:00:00,1.05346,1.05382,1.05337,1.0537,1.0562334
2024-12-09 08:00:00,1.05371,1.05447,1.05364,1.05442,1.0562854
2024-12-09 09:00:00,1.05441,1.05663,1.0541,1.05641,1.0563608
2024-12-09 10:00:00,1.05643,1.05702,1.05564,1.05673,1.0564442
2024-12-09 11:00:00,1.05675,1.05748,1.05613,1.05661,1.0565060000000002
2024-12-09 12:00:00,1.05661,1.05853,1.05661,1.05804,1.0566066
2024-12-09 13:00:00,1.05803,1.05849,1.05674,1.05687,1.056687
2024-12-09 14:00:00,1.05686,1.05711,1.05577,1.05656,1.0567662
2024-12-09 15:00:00,1.05657,1.05776,1.05581,1.0576,1.0568462
2024-12-09 16:00:00,1.05761,1.05846,1.05716,1.05781,1.056929
2024-12-09 17:00:00,1.05783,1.05925,1.05717,1.05909,1.056977
2024-12-09 18:00:00,1.0591,1.05943,1.05681,1.05703,1.0569668
2024-12-09 19:00:00,1.05702,1.05742,1.05666,1.05668,1.056956
2024-12-09 20:00:00,1.05667,1.05675,1.05602,1.05635,1.0569426000000002
2024-12-09 21:00:00,1.05635,1.05644,1.05514,1.0555,1.0569176
2024-12-09 22:00:00,1.05552,1.05573,1.0547,1.05499,1.0568814
